sample_name,donor,cell_type,read_count,base_count,library,rseqc_bam_stat-proper_pairs_percent,star-total_reads,star-mapped,star-mapped_percent,star-uniquely_mapped,star-uniquely_mapped_percent,star-multimapped,fastp-pct_duplication,fastp-after_filtering_q30_rate,fastp-after_filtering_q30_bases,fastp-filtering_result_passed_filter_reads,fastp-after_filtering_gc_content,fastp-pct_surviving,fastp-pct_adapter
GMP_6792,D6792,GMP,49328538,7331206342,RNA,78.89695275923032,46.052167,40.643205,88.26,38.479078,83.56,2.164127,22.0785,88.7328,6074.991857,92.104334,44.4809,93.35806181808996,0.1282888213715152
GMP_7256,D7256,GMP,62939555,9501273445,RNA,83.50064237941184,59.656765,50.989955,85.47000000000001,48.79412,81.79,2.195835,30.3379,94.3949,8496.532443,119.31353,43.7879,94.78421796912929,0.2576853299963751
GMP_7653,D7653,GMP,36559830,2632307760,RNA,73.57240430941516,34.571752,27.966438,80.89,25.140302,72.72,2.826136,26.7156,89.51400000000001,2227.864635,69.143504,44.2245,94.56212460506518,0.061124464
HSC_5852,D5852,HSC,51930751,3739014072,RNA,50.14557336,49.377266,36.846687,74.63,30.755499,62.29,6.091188,27.2458,87.75500000000001,3119.547746,98.754532,44.3483,95.08290376929077,0.009632058
HSC_6792,D6792,HSC,32677993,4860537950,RNA,60.96459239229453,30.201982,26.779589,88.67,24.269248,80.36,2.510341,14.6247,87.59209999999999,3935.824195,60.403964,44.6313,92.42300162069316,0.1109095041424361
HSC_7256,D7256,HSC,18926056,2855964484,RNA,76.33391357659984,17.941755999999998,15.722658,87.63,14.816811,82.58,0.905847,15.918,92.9295,2514.220017,35.883512,42.2637,94.79923339548398,0.2773478003023979
HSC_7653,D7653,HSC,16871773,1214767656,RNA,72.37359510680356,16.011114,12.981891,81.08,11.763061,73.47,1.21883,16.9576,89.5902,1032.668134,32.022228,43.2527,94.89882302,0.051766936
LMPP_5483,D5483,LMPP,18495706,2811347312,RNA,71.34627416556695,17.403284,15.173771,87.18,14.127085999999998,81.17,1.046685,27.5372,95.6975,2528.068075,34.806568,43.2931,94.09364530340176,0.5707973515582482
LMPP_7256,D7256,LMPP,17040701,2570943342,RNA,79.99060777879349,16.041522999999998,13.860594,86.39999999999999,13.162509,82.05,0.698085,17.849999999999998,92.7683,2243.684807,32.083046,42.331,94.13652056,0.2292452640299246
LMPP_7653,D7653,LMPP,40411965,2909661480,RNA,57.12437541699149,37.869332,30.590126,80.78,26.475424,69.91,4.114701999999999,21.8772,88.3566,2408.789001,75.738664,45.0515,93.70821735592418,0.045959161
MEP_5852,D5852,MEP,45672916,3288449952,RNA,44.51397338444652,43.138349,33.001196,76.5,26.643682,61.76,6.357514,26.4594,87.9043,2730.009616,86.276698,45.1273,94.45061270009562,0.011494777
MEP_6792,D6792,MEP,58333253,8674978721,RNA,70.50156347417715,54.069711,48.174582,89.08999999999999,44.739635,82.74,3.434947,22.9813,88.9199,7152.211144,108.139422,44.8142,92.69106079168942,0.1097812940416678
MEP_7256,D7256,MEP,28460696,4293997439,RNA,69.23793550305228,22.499118,17.34331,77.08,16.07807,71.46,1.26524,1.32536,66.91550000000001,2270.030786,44.998236,43.1197,79.05329511267047,0.1351091343655123
